assists,champLevel,championName,deaths,detectorWardsPlaced,gameEndedInEarlySurrender,gameEndedInSurrender,goldEarned,inhibitorsLost,kills,magicDamageDealt,magicDamageDealtToChampions,neutralMinionsKilled,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,sightWardsBoughtInGame,teamId,teamPosition,totalDamageDealt,totalDamageDealtToChampions,totalMinionsKilled,trueDamageDealt,trueDamageDealtToChampions,turretsLost,visionScore,wardsKilled,wardsPlaced,win,match_id,tier
11,11,Garen,8,3,False,False,7360,0,2,0,0,0,13147,4737,13849,5766,0,200,UTILITY,20716,6810,37,7569,2073,1,58,7,25,True,EUW1_7761401017,Master
7,18,Teemo,5,0,False,False,10948,2,1,116426,24716,0,30653,3463,19226,642,0,100,TOP,154478,29666,262,7398,1487,10,27,6,9,False,EUW1_7761372241,Master
5,15,Belveth,7,0,False,False,10171,2,1,3614,690,157,132898,4271,13009,744,0,100,JUNGLE,221034,5833,25,84522,871,10,21,5,3,False,EUW1_7761372241,Master
3,16,Aurora,6,0,False,False,13195,2,9,142976,31325,0,18086,2535,17833,7084,0,100,MIDDLE,173671,35863,223,12607,2001,10,27,3,12,False,EUW1_7761372241,Master
4,16,Ezreal,2,0,False,False,17240,2,4,22373,7314,0,193219,16697,11718,6720,0,100,BOTTOM,218157,25402,304,2564,1390,10,26,3,11,False,EUW1_7761372241,Master
13,14,Janna,5,7,False,False,8492,2,0,16836,6532,0,3649,1070,14884,5180,0,100,UTILITY,23733,8188,18,3247,585,10,92,10,48,False,EUW1_7761372241,Master
4,18,Jayce,1,3,False,False,14041,0,5,20268,4180,4,172599,22968,6666,984,0,200,TOP,202417,27862,247,9548,713,1,37,3,10,True,EUW1_7761372241,Master
8,18,Tryndamere,2,1,False,False,16648,0,7,977,28,274,286673,13260,26786,6075,0,200,JUNGLE,448140,13855,50,160488,567,1,58,13,6,True,EUW1_7761372241,Master
12,17,Taliyah,7,1,False,False,14046,0,4,215021,28952,5,9078,895,12821,683,0,200,MIDDLE,229519,30656,272,5420,808,1,29,3,11,True,EUW1_7761372241,Master
2,17,Riven,2,0,False,False,17118,0,9,0,0,12,184673,16212,9584,6872,0,200,BOTTOM,199083,17472,238,14409,1260,1,32,3,13,True,EUW1_7761372241,Master
16,14,Sona,3,7,False,False,9610,0,0,15758,10639,0,6527,3415,3921,6996,0,200,UTILITY,24266,14136,25,1981,82,1,103,7,48,True,EUW1_7761372241,Master
6,19,Riven,4,0,False,False,15817,0,7,0,0,8,220932,18450,11275,6872,0,100,TOP,224404,18561,283,3471,111,3,30,2,12,True,EUW1_7761354159,Master
8,17,Evelynn,4,0,False,False,16818,0,13,185863,27670,193,14945,874,16642,1151,0,100,JUNGLE,300849,31344,14,100040,2799,3,18,1,11,True,EUW1_7761354159,Master
9,18,Jayce,3,0,False,False,15986,0,5,24569,3247,16,270458,24913,12732,3874,0,100,MIDDLE,297297,28160,328,2268,0,3,26,9,7,True,EUW1_7761354159,Master
8,17,Jhin,0,1,False,False,17000,0,7,11710,2825,8,271494,27661,9134,5675,0,100,BOTTOM,285624,30557,320,2419,70,3,27,5,12,True,EUW1_7761354159,Master
18,15,Janna,3,8,False,False,11306,0,3,18977,6313,0,6828,1708,6900,5180,0,100,UTILITY,29824,8084,34,4018,63,3,115,13,47,True,EUW1_7761354159,Master
5,16,Rumble,8,1,False,False,10763,3,1,122472,14726,2,16316,564,17654,5962,0,200,TOP,146433,17369,195,7643,2079,11,16,0,10,False,EUW1_7761354159,Master
2,17,Elise,5,8,False,False,15174,3,6,194168,16019,218,32926,971,20351,4353,0,200,JUNGLE,338141,18896,64,111046,1905,11,75,16,8,False,EUW1_7761354159,Master
4,16,Corki,8,0,False,False,13604,3,3,60712,2643,4,105329,12386,15671,1109,0,200,MIDDLE,188449,16878,279,22406,1849,11,28,4,10,False,EUW1_7761354159,Master
2,17,Yunara,6,2,False,False,16033,3,3,111710,7294,6,159974,10550,17635,6908,0,200,BOTTOM,275998,19289,322,4312,1445,11,32,4,13,False,EUW1_7761354159,Master
9,14,Rell,8,11,False,False,8606,3,0,10417,5680,0,2057,1243,25989,588,0,200,UTILITY,15838,8150,18,3363,1227,11,119,8,55,False,EUW1_7761354159,Master
3,11,Zaahen,7,0,False,True,5320,0,1,1247,819,0,32886,8166,13495,581,0,100,TOP,36964,9556,97,2830,571,3,10,0,5,False,EUW1_7761345162,Master
3,11,JarvanIV,3,1,False,True,7650,0,5,4786,561,105,59427,7899,7473,6051,0,100,JUNGLE,120942,8776,7,56727,316,3,21,3,3,False,EUW1_7761345162,Master
1,11,Irelia,5,1,False,True,6122,0,2,9756,1958,0,64290,4451,6457,1296,0,100,MIDDLE,74928,6409,145,881,0,3,12,1,5,False,EUW1_7761345162,Master
1,9,Kaisa,4,0,False,True,5831,0,2,4108,1537,0,39592,4160,7055,938,0,100,BOTTOM,44769,5697,111,1069,0,3,6,0,4,False,EUW1_7761345162,Master
5,8,Blitzcrank,5,2,False,True,5003,0,1,1312,1195,0,3709,2018,6094,580,0,100,UTILITY,8630,4044,16,3607,830,3,25,2,10,False,EUW1_7761345162,Master
1,13,Riven,1,0,False,True,7732,0,6,0,0,0,66900,10039,7889,6872,0,200,TOP,69341,10509,127,2440,470,0,11,1,5,True,EUW1_7761345162,Master
6,11,Rumble,2,0,False,True,7961,0,6,70104,11982,104,13130,1062,10781,29,0,200,JUNGLE,128947,14402,7,45712,1357,0,5,2,0,True,EUW1_7761345162,Master
2,12,Malzahar,4,1,False,True,7165,0,4,64413,8382,4,3173,372,6604,23,0,200,MIDDLE,71809,8754,129,4222,0,0,17,4,4,True,EUW1_7761345162,Master
4,10,Jinx,2,0,False,True,10143,0,8,1824,1108,0,86838,15559,8496,897,0,200,BOTTOM,94466,16668,150,5803,0,0,10,1,5,True,EUW1_7761345162,Master
10,9,Braum,2,1,False,True,4992,0,0,4279,3320,0,4427,1275,10594,3543,0,200,UTILITY,11528,4595,18,2822,0,0,22,1,14,True,EUW1_7761345162,Master
5,20,Yasuo,9,0,False,False,15530,0,7,37506,3264,12,224035,24363,24720,3150,0,100,TOP,272462,28325,269,10920,698,5,26,3,12,True,EUW1_7760410010,Master
12,18,Shaco,5,0,False,False,17480,0,9,240832,26798,277,32262,1860,23058,6265,0,100,JUNGLE,448688,32012,42,175588,3352,5,35,10,1,True,EUW1_7760410010,Master
12,18,Singed,3,0,False,False,14248,0,5,121221,15229,4,8660,1598,23855,3380,0,100,MIDDLE,135838,18348,230,5957,1520,5,39,4,14,True,EUW1_7760410010,Master
7,17,Varus,8,0,False,False,18695,0,11,15337,8955,0,233580,36412,18080,6482,0,100,BOTTOM,259419,46012,289,10502,645,5,13,3,5,True,EUW1_7760410010,Master
24,16,Nami,5,16,False,False,12653,0,6,29993,13056,0,7117,1742,10236,5067,0,100,UTILITY,40081,15194,22,2969,394,5,110,5,57,True,EUW1_7760410010,Master
6,20,Riven,4,0,False,False,18684,1,7,101,61,4,252807,24385,13771,6872,0,200,TOP,262779,26363,306,9870,1915,8,38,2,14,False,EUW1_7760410010,Master
8,16,Rengar,12,0,False,False,13341,1,7,20106,1415,166,151441,20707,25739,29,0,200,JUNGLE,247324,25279,16,75776,3155,8,39,8,10,False,EUW1_7760410010,Master
11,18,Smolder,6,1,False,False,18471,1,8,43925,8569,44,306773,27394,14908,7037,0,200,MIDDLE,378345,45773,332,27646,9808,8,25,4,8,False,EUW1_7760410010,Master
16,17,AurelionSol,7,0,False,False,16785,1,6,160605,43624,8,6259,136,18081,7084,0,200,BOTTOM,175222,44096,246,8357,335,8,15,2,8,False,EUW1_7760410010,Master
12,14,Karma,9,9,False,False,10191,1,2,23569,11369,4,5601,988,15771,29,0,200,UTILITY,29944,12358,20,773,0,8,125,10,53,False,EUW1_7760410010,Master
3,14,Riven,2,0,False,True,8509,0,3,0,0,0,92570,15220,11122,6872,0,100,TOP,96170,16321,156,3599,1101,1,19,2,6,True,EUW1_7760377054,Master
8,14,Nunu,1,0,False,True,10608,0,7,56263,14528,150,17023,1230,16065,6720,0,100,JUNGLE,208098,15944,14,134810,184,1,15,0,5,True,EUW1_7760377054,Master
2,15,Yone,1,1,False,True,13081,0,12,18315,4024,0,129663,22318,10761,7069,0,100,MIDDLE,163889,30909,199,15910,4566,1,6,0,7,True,EUW1_7760377054,Master
4,12,Karma,2,4,False,True,8273,0,3,76066,10965,0,11853,887,7482,5980,0,100,BOTTOM,92856,11852,143,4936,0,1,18,2,11,True,EUW1_7760377054,Master
12,9,Leona,2,5,False,True,6108,0,1,8835,2660,0,4334,1707,8825,532,0,100,UTILITY,15902,4367,22,2732,0,1,58,5,29,True,EUW1_7760377054,Master
0,13,Zaahen,4,0,False,True,7032,0,2,2834,1464,0,70526,9189,17521,7024,0,200,TOP,85080,10653,152,11719,0,7,21,1,8,False,EUW1_7760377054,Master
3,11,Darius,6,1,False,True,6912,0,2,211,211,112,87609,7336,12924,4896,0,200,JUNGLE,140465,8760,19,52644,1212,7,11,1,3,False,EUW1_7760377054,Master
1,12,Vladimir,7,0,False,True,6520,0,0,59321,10146,0,11000,797,16134,682,0,200,MIDDLE,82054,10943,170,11731,0,7,10,2,5,False,EUW1_7760377054,Master
1,11,Jhin,5,0,False,True,8417,0,3,764,478,0,102617,13327,5723,3151,0,200,BOTTOM,105346,13904,176,1964,98,7,14,2,7,False,EUW1_7760377054,Master
4,9,Braum,4,2,False,True,5694,0,1,6064,4165,0,3899,1343,4997,590,0,200,UTILITY,13766,5508,31,3802,0,7,55,8,20,False,EUW1_7760377054,Master
1,13,Ambessa,9,0,False,False,7998,1,0,393,393,4,87876,8940,18479,6872,0,100,TOP,92312,9333,160,4042,0,8,20,2,8,False,EUW1_7760334981,Master
7,13,Ekko,4,0,False,False,9042,1,0,90613,9986,122,20129,1104,14780,3797,0,100,JUNGLE,181434,11841,39,70691,750,8,16,2,7,False,EUW1_7760334981,Master
1,14,Jayce,6,0,False,False,13111,1,11,16824,3518,8,146015,27666,11133,6693,0,100,MIDDLE,168816,32080,191,5976,896,8,15,3,10,False,EUW1_7760334981,Master
4,12,Kaisa,8,0,False,False,9892,1,3,10664,2359,0,92534,5585,10530,5993,0,100,BOTTOM,105183,7945,182,1984,0,8,9,1,7,False,EUW1_7760334981,Master
7,9,Nautilus,9,5,False,False,7177,1,2,8928,4605,0,5605,2485,15501,3791,0,100,UTILITY,17211,7100,20,2678,8,8,63,2,30,False,EUW1_7760334981,Master
9,16,Poppy,1,1,False,False,11775,0,7,5965,3734,0,128572,17425,19650,6938,0,200,TOP,147400,21160,215,12862,0,5,26,2,9,True,EUW1_7760334981,Master
8,15,XinZhao,0,1,False,False,12923,0,11,7080,825,174,151865,15473,18734,4954,0,200,JUNGLE,258706,17274,23,99760,975,5,20,2,4,True,EUW1_7760334981,Master
8,14,Annie,7,1,False,False,10206,0,11,71125,19482,10,7643,907,10932,3839,0,200,MIDDLE,81025,21038,107,2255,648,5,14,0,7,True,EUW1_7760334981,Master
10,14,Lucian,3,0,False,False,10992,0,6,8286,1885,4,99748,14178,10708,4782,0,200,BOTTOM,110930,16086,146,2895,22,5,22,5,8,True,EUW1_7760334981,Master
12,11,Leona,5,3,False,False,6795,0,1,5939,3979,0,5595,1624,8093,6236,0,200,UTILITY,15207,5604,24,3672,0,5,62,6,24,True,EUW1_7760334981,Master
1,13,Riven,0,0,False,True,7513,0,5,0,0,0,69969,8191,5323,6872,0,100,TOP,72774,8191,130,2804,0,0,13,2,4,True,EUW1_7760313460,Master
3,11,Ambessa,0,1,False,True,7547,0,4,0,0,122,92052,7520,6743,603,0,100,JUNGLE,146319,8073,4,54266,552,0,13,1,3,True,EUW1_7760313460,Master
1,11,Hwei,0,0,False,True,6365,0,1,53489,8755,0,14086,661,1668,6254,0,100,MIDDLE,73703,9416,154,6127,0,0,7,0,6,True,EUW1_7760313460,Master
6,10,Ashe,4,1,False,True,8800,0,8,4811,964,0,48348,12514,8908,3797,0,100,BOTTOM,62745,13478,110,9584,0,0,10,2,6,True,EUW1_7760313460,Master
10,8,Rakan,2,0,False,True,5484,0,3,5388,2748,0,3770,2006,6666,3839,0,100,UTILITY,11130,4754,21,1972,0,0,17,1,7,True,EUW1_7760313460,Master
0,11,Kennen,3,1,False,True,4726,0,0,21101,1817,0,14795,1278,6031,6938,0,200,TOP,38369,3471,129,2472,375,3,8,2,5,False,EUW1_7760313460,Master
0,10,DrMundo,3,0,False,True,5142,0,1,26966,2276,100,30575,2272,15178,6923,0,200,JUNGLE,115255,4712,1,57713,163,3,5,0,2,False,EUW1_7760313460,Master
0,10,Azir,3,0,False,True,4549,0,0,33891,4336,0,4205,185,3304,6066,0,200,MIDDLE,38096,4522,116,0,0,3,5,0,5,False,EUW1_7760313460,Master
2,8,Aphelios,7,0,False,True,6878,0,4,3732,863,0,48465,11715,11646,3018,0,200,BOTTOM,53841,12578,115,1644,0,3,1,0,3,False,EUW1_7760313460,Master
5,8,Yuumi,5,0,False,True,4471,0,1,4443,3329,0,967,591,7319,7080,0,200,UTILITY,5921,3920,10,510,0,3,18,2,9,False,EUW1_7760313460,Master
8,16,Akali,1,0,False,False,10262,0,5,111514,16168,0,14718,2077,13226,1590,0,100,TOP,130494,19809,204,4261,1563,3,16,0,8,True,EUW1_7761420101,Master
9,15,MonkeyKing,3,1,False,False,12648,0,11,16720,2745,171,101629,17147,19471,6425,0,100,JUNGLE,225592,20416,5,107243,523,3,27,4,5,True,EUW1_7761420101,Master
9,16,Sylas,2,2,False,False,13581,0,9,144857,23883,0,5122,599,16110,2076,0,100,MIDDLE,157524,24629,237,7545,146,3,19,2,6,True,EUW1_7761420101,Master
14,14,Brand,2,0,False,False,12128,0,5,95114,19422,4,13283,1043,12450,5636,0,100,BOTTOM,111535,20515,186,3137,50,3,7,0,7,True,EUW1_7761420101,Master
21,12,Nami,2,1,False,False,7274,0,0,12088,6538,0,2306,582,4291,7084,0,100,UTILITY,15040,7120,20,645,0,3,61,8,21,True,EUW1_7761420101,Master
3,15,Sion,5,0,False,False,8348,1,0,34103,5021,0,87645,9774,5758,29,0,200,TOP,125462,14801,200,3713,5,9,24,1,9,False,EUW1_7761420101,Master
5,13,Jayce,6,2,False,False,11326,1,3,23565,2079,148,116678,11267,12849,29,0,200,JUNGLE,208571,15517,25,68327,2170,9,29,8,3,False,EUW1_7761420101,Master
1,13,Viktor,6,2,False,False,9604,1,4,102821,17432,2,9789,1180,4530,7051,0,200,MIDDLE,127115,18612,190,14504,0,9,16,2,9,False,EUW1_7761420101,Master
5,12,Ashe,7,0,False,False,9802,1,3,1974,1224,4,86240,13804,4890,4467,0,200,BOTTOM,90933,15029,172,2718,0,9,17,2,5,False,EUW1_7761420101,Master
8,11,Braum,6,3,False,False,6148,1,0,6874,4605,0,3537,1178,6698,6236,0,200,UTILITY,17661,5810,30,7249,27,9,61,8,24,False,EUW1_7761420101,Master
7,17,Renekton,4,0,False,False,11712,0,1,7026,4682,1,164471,15869,18509,6489,0,100,TOP,175733,20552,259,4235,0,4,22,2,6,True,EUW1_7761390341,Master
11,17,Ekko,1,0,False,False,16540,0,12,191206,25114,209,29586,2357,22236,3797,0,100,JUNGLE,343405,28496,23,122610,1023,4,26,5,4,True,EUW1_7761390341,Master
11,18,Qiyana,5,1,False,False,15504,0,17,18174,3337,0,161086,33671,9738,6923,0,100,MIDDLE,191553,40952,204,12292,3943,4,18,3,6,True,EUW1_7761390341,Master
9,15,Jinx,8,0,False,False,14480,0,6,491,491,8,152171,20283,13169,6921,0,100,BOTTOM,157422,20931,198,4759,155,4,18,4,6,True,EUW1_7761390341,Master
23,13,Karma,2,2,False,False,8738,0,0,13296,7572,0,3938,1242,11925,5636,0,100,UTILITY,19372,9228,22,2138,413,4,91,8,39,True,EUW1_7761390341,Master
4,17,Shen,3,1,False,False,11283,1,5,25422,10717,0,102895,14859,24241,4817,0,200,TOP,139579,28786,216,11261,3209,9,21,0,11,False,EUW1_7761390341,Master
3,16,Kindred,7,1,False,False,13166,1,5,20596,2835,198,180788,12584,18318,781,0,200,JUNGLE,301952,18920,57,100568,3500,9,31,7,2,False,EUW1_7761390341,Master
3,15,Annie,11,4,False,False,11385,1,5,89758,15938,0,13708,608,17966,6850,0,200,MIDDLE,117238,17676,194,13771,1129,9,30,4,9,False,EUW1_7761390341,Master
5,14,Ezreal,6,0,False,False,11740,1,3,16445,9219,12,127713,17453,15484,749,0,200,BOTTOM,147757,27659,198,3597,987,9,11,2,4,False,EUW1_7761390341,Master
7,11,Nautilus,9,5,False,False,7825,1,2,8857,4473,0,5507,2405,16785,7015,0,200,UTILITY,17017,7680,15,2652,800,9,93,5,41,False,EUW1_7761390341,Master
6,17,Gnar,6,0,False,False,14842,0,11,15939,6236,8,160840,31272,21497,5959,0,100,TOP,184113,39272,211,7333,1762,3,31,4,11,True,EUW1_7760395352,Master
12,17,Viego,5,4,False,False,13370,0,4,7150,1015,209,201093,19396,24455,6923,0,100,JUNGLE,332786,21873,30,124543,1461,3,41,5,10,True,EUW1_7760395352,Master
10,17,Ahri,4,0,False,False,16536,0,14,140334,33311,4,13673,2342,9082,5991,0,100,MIDDLE,212005,46782,239,57997,11128,3,26,4,7,True,EUW1_7760395352,Master
12,16,Brand,6,0,False,False,12740,0,3,134814,25372,4,14764,1170,11394,5636,0,100,BOTTOM,155629,28173,220,6049,1630,3,25,4,9,True,EUW1_7760395352,Master
21,13,Rakan,4,8,False,False,9453,0,1,6523,4277,0,3090,1623,11087,983,0,100,UTILITY,10571,6106,25,958,206,3,122,16,50,True,EUW1_7760395352,Master
6,17,Zaahen,7,0,False,False,14075,2,6,5266,1843,8,159498,20325,28478,3584,0,200,TOP,172094,22531,233,7329,362,8,33,4,11,False,EUW1_7760395352,Master
16,17,Aatrox,5,4,False,False,14795,2,4,13598,2043,214,213888,22988,18376,589,0,200,JUNGLE,324102,25697,29,96616,665,8,35,4,6,False,EUW1_7760395352,Master
8,15,Annie,11,5,False,False,11279,2,4,123896,26875,0,13213,936,9429,6850,0,200,MIDDLE,137209,27912,230,100,100,8,37,7,13,False,EUW1_7760395352,Master
6,16,AurelionSol,5,0,False,False,14972,2,11,121482,34236,0,5411,216,8823,4834,0,200,BOTTOM,138785,35081,234,11892,628,8,23,3,10,False,EUW1_7760395352,Master
9,12,Nautilus,5,9,False,False,8305,2,0,13019,4702,0,8441,3492,11874,2073,0,200,UTILITY,23767,8200,34,2306,5,8,143,13,58,False,EUW1_7760395352,Master
8,18,Sion,5,0,False,False,13480,0,8,46570,10858,0,83516,13332,24524,657,0,100,TOP,135868,24298,204,5781,108,3,24,1,7,True,EUW1_7760333795,Master
12,18,FiddleSticks,6,0,False,False,16572,0,18,199880,26957,185,6806,457,29076,7,0,100,JUNGLE,312776,28947,32,106089,1532,3,75,5,0,True,EUW1_7760333795,Master
15,17,Brand,5,0,False,False,12978,0,9,141215,30330,2,13351,1124,19586,5636,0,100,MIDDLE,157030,31533,194,2462,78,3,10,0,9,True,EUW1_7760333795,Master
14,16,Lucian,12,0,False,False,17853,0,12,19535,9222,3,181864,35322,29016,3018,0,100,BOTTOM,208323,45836,224,6922,1292,3,21,1,11,True,EUW1_7760333795,Master
29,15,Nami,8,3,False,False,10330,0,1,23115,12030,0,3986,1098,13417,7080,0,100,UTILITY,28944,14067,18,1843,938,3,77,7,31,True,EUW1_7760333795,Master
2,16,Yunara,12,0,False,False,10867,1,4,65539,14561,4,104128,18523,15461,6923,0,200,TOP,183533,33351,224,13866,266,9,19,2,10,False,EUW1_7760333795,Master
9,18,Talon,9,0,False,False,20100,1,18,227,151,195,226132,43337,17481,7050,0,200,JUNGLE,316992,49942,52,90633,6453,9,24,9,1,False,EUW1_7760333795,Master
14,15,Elise,10,2,False,False,11476,1,7,63533,22097,0,15617,1623,9981,6295,0,200,MIDDLE,90618,25939,138,11467,2217,9,21,3,7,False,EUW1_7760333795,Master
6,15,Ezreal,12,0,False,False,13902,1,7,22371,9635,4,145558,24148,17401,1670,0,200,BOTTOM,172095,33816,218,4165,32,9,18,1,9,False,EUW1_7760333795,Master
20,14,Braum,5,5,False,False,8491,1,0,13366,9779,0,5060,1985,16075,7033,0,200,UTILITY,20579,11764,28,2152,0,9,91,10,36,False,EUW1_7760333795,Master
5,16,Urgot,1,2,False,False,13303,0,11,0,0,8,122523,20944,11981,6219,0,100,TOP,136982,23938,153,14458,2994,2,31,5,7,True,EUW1_7760296515,Master
13,16,Karthus,5,0,False,False,13075,0,4,218559,18226,223,5741,182,15852,6759,0,100,JUNGLE,319703,20386,29,95403,1977,2,20,0,8,True,EUW1_7760296515,Master
6,17,Aurora,1,2,False,False,13285,0,8,172217,28921,0,18609,2601,13616,29,0,100,MIDDLE,207304,33307,276,16477,1784,2,26,4,5,True,EUW1_7760296515,Master
8,14,Corki,4,0,False,False,11572,0,2,49014,3072,4,90635,12768,8863,6482,0,100,BOTTOM,151192,17745,225,11542,1904,2,15,2,7,True,EUW1_7760296515,Master
9,11,Alistar,5,6,False,False,6858,0,1,6465,3227,0,3101,342,9720,4896,0,100,UTILITY,14691,4024,28,5124,455,2,90,7,40,True,EUW1_7760296515,Master
3,15,Elise,6,0,False,False,9842,1,4,56704,12698,0,25768,2340,15268,6295,0,200,TOP,93987,16221,162,11515,1183,7,28,3,8,False,EUW1_7760296515,Master
6,14,XinZhao,5,0,False,False,9936,1,3,9809,832,161,113903,10948,16805,744,0,200,JUNGLE,213377,12644,24,89664,863,7,17,5,1,False,EUW1_7760296515,Master
4,13,Viego,10,0,False,False,8984,1,1,6833,3281,4,90092,7344,10313,6864,0,200,MIDDLE,103460,12542,168,6534,1915,7,28,3,10,False,EUW1_7760296515,Master
2,14,Smolder,3,0,False,False,12066,1,6,15489,4110,0,135616,14946,9328,5636,0,200,BOTTOM,158893,21427,258,7786,2371,7,14,2,9,False,EUW1_7760296515,Master
9,12,Annie,2,2,False,False,7374,1,2,19716,12870,0,2977,1007,3915,7050,0,200,UTILITY,24448,14366,18,1754,488,7,65,4,27,False,EUW1_7760296515,Master
